case_id,reported_date,case_type,subject_ar,case_summary_ar,handling_unit,case_status
CASE-00093,2024-12-01,بلاغ مبلّغ,مراجعة استراتيجية لمخاطر الالتزام في قطاع البنية التحتية,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2024-7351 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,محال للجهة المختصة
CASE-00094,2019-07-13,مخالفة سلوك مهني,تحقيق في تسريب خطط عمليات أمنية لفعالية وطنية,تسريب جدول عمليات أمنية قبل تنفيذ الفعالية الوطنية. المرجع CASE-2019-6781 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,قيد المراجعة القانونية
CASE-00095,2024-09-25,تعارض مصالح,قضية مساس بمتطلبات سيادة البيانات الوطنية,استضافة بيانات وطنية خارج النطاق بما يخالف متطلبات سيادة البيانات. المرجع CASE-2024-3014 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,محال للجهة المختصة
CASE-00096,2020-01-25,بلاغ مبلّغ,بلاغ عن تسريب بيانات تخص منشأة حيوية وطنية,بلاغ داخلي عن نقل وثائق تخص منشأة حيوية إلى جهة غير مصرح لها. المرجع CASE-2020-4177 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,مغلق
CASE-00097,2023-07-18,مخالفة سلوك مهني,بلاغ مبلّغ عن مخالفات في الشؤون القانونية,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2023-3262 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد التحقيق
CASE-00098,2020-01-10,مخالفة تعاقدية,تحقيق في تلاعب بسجلات الاعتماد في مركز البيانات الرئيسي,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2020-7232 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,بانتظار الرد
CASE-00099,2019-04-01,استخدام غير مصرح للأنظمة,تحقيق في احتيال مالي بقيمة تقديرية 8 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2019-4090 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,بانتظار الرد
CASE-00100,2025-03-31,تعارض مصالح,بلاغ مبلّغ عن مخالفات في الخدمات المساندة,تحقيق سري في بلاغ مبلّغ مع حماية هويته وفق السياسة. المرجع CASE-2025-6429 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
CASE-00101,2019-12-07,مخالفة مشتريات,بلاغ عن مخالفة في التعامل مع مواد أسلحة خاضعة للرقابة,مخالفة إجراءات مناولة أسلحة ومواد خاضعة للرقابة داخل موقع تشغيلي. المرجع CASE-2019-9767 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,قيد التحقيق
CASE-00102,2024-03-22,مخالفة مشتريات,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2024-5001 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,قيد التحقيق
CASE-00103,2022-12-09,استخدام غير مصرح للأنظمة,تحقيق في تواطؤ محتمل بين موردي قطاع التقنية والمشاريع,تحقيق في مؤشرات تنسيق أسعار بين موردين في منافسة مغلقة. المرجع CASE-2022-8518 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,بانتظار الرد
CASE-00104,2025-12-05,مخالفة مشتريات,قضية مساس بمتطلبات سيادة البيانات الوطنية,استضافة بيانات وطنية خارج النطاق بما يخالف متطلبات سيادة البيانات. المرجع CASE-2025-6140 · الجهة المعنية: إدارة المخاطر.,إدارة المخاطر,قيد التحقيق
CASE-00105,2024-12-28,تعارض مصالح,قضية اشتباه تجسس إلكتروني على منصة المراسلات الرسمية,تعاون مع جهات استخبارات وطنية بشأن نشاط تجسس مشتبه به. المرجع CASE-2024-6725 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,منتهي بتوصيات
CASE-00106,2021-11-18,مخالفة مشتريات,قضية إساءة استخدام معلومات داخلية في قطاع الخدمات الرقمية,قضية استخدام معلومات غير معلنة لتحقيق منفعة شخصية. المرجع CASE-2021-5037 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,قيد المراجعة القانونية
CASE-00107,2020-07-11,مخالفة سلوك مهني,مذكرة داخلية بشأن ضبط الحضور في الخدمات المساندة,مذكرة داخلية تنظيمية حول التزام الحضور والانصراف. المرجع CASE-2020-9350 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,محال للجهة المختصة
CASE-00108,2023-02-23,استخدام غير مصرح للأنظمة,قضية تعارض مصالح في ترسية برنامج تحديث البنية التقنية,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2023-8220 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,منتهي بتوصيات
CASE-00109,2019-04-06,مخالفة مشتريات,تحقيق في تلاعب بسجلات الاعتماد في نظام الأرشفة الإلكترونية,تحقيق في تعديل غير مصرح لسجلات الاعتماد المالي. المرجع CASE-2019-4811 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,قيد التحقيق
CASE-00110,2022-04-01,بلاغ مبلّغ,قضية تعارض مصالح في ترسية برنامج التوسع الإقليمي,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2022-1830 · الجهة المعنية: مكتب حماية المبلّغين.,مكتب حماية المبلّغين,محال للجهة المختصة
CASE-00111,2021-01-21,تعارض مصالح,تحقيق في احتيال مالي بقيمة تقديرية 10 مليون ريال,تحقيق داخلي في معاملات مالية غير مبررة وتوصيات الإحالة. المرجع CASE-2021-4619 · الجهة المعنية: وحدة الالتزام التنظيمي.,وحدة الالتزام التنظيمي,مغلق
CASE-00112,2025-12-25,تعارض مصالح,قضية استخدام غير مصرح لبيانات مواقع تخزين تشغيلية,استخراج قوائم مواقع تخزين تشغيلية دون تصريح. المرجع CASE-2025-5618 · الجهة المعنية: وحدة مكافحة الاحتيال.,وحدة مكافحة الاحتيال,بانتظار الرد
CASE-00113,2019-04-25,تسريب معلومات,تحقيق في مخالفة تعاقدية مع منظمة إقليمية,تحقيق في إخلال ببنود تعاقدية قد يرتب مطالبات مالية كبيرة. المرجع CASE-2019-1499 · الجهة المعنية: التدقيق الداخلي.,التدقيق الداخلي,محال للجهة المختصة
CASE-00114,2024-04-06,إساءة استخدام صلاحيات,قضية تعارض مصالح في ترسية برنامج التحول الرقمي,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2024-3823 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,محال للجهة المختصة
CASE-00115,2020-07-03,احتيال مالي,تحقيق في تسريب خطط عمليات أمنية لفعالية وطنية,تسريب جدول عمليات أمنية قبل تنفيذ الفعالية الوطنية. المرجع CASE-2020-4571 · الجهة المعنية: الموارد البشرية.,الموارد البشرية,منتهي بتوصيات
CASE-00116,2025-10-15,مخالفة مشتريات,مراجعة استراتيجية لمخاطر الالتزام في قطاع العمليات,مراجعة استراتيجية لمخاطر التزام قد تؤدي إلى غرامات تنظيمية. المرجع CASE-2025-4779 · الجهة المعنية: الشؤون القانونية.,الشؤون القانونية,محال للجهة المختصة
CASE-00117,2025-08-02,احتيال مالي,قضية تعارض مصالح في ترسية برنامج الاستحواذ التقني,قضية تعارض مصالح بين عضو لجنة وأحد الموردين المتنافسين. المرجع CASE-2025-8308 · الجهة المعنية: الأمانة العامة.,الأمانة العامة,منتهي بتوصيات
